"-- Select --","-- Wybierz --"
"EAN Attribute","Atrybut EAN"
"Enabled","Włączony"
"View Tracking Enabled","Wyświetlenie Strony"
"View Product Tracking Enabled","Widok Produktu"
"Product List Tracking Enabled","Lista produktów"
"Add To Cart Tracking Enabled","Dodanie Do Koszyka"
"Purchase Tracking Enabled","Zakup"
"Register Form Tracking Enabled","Formularz Rejestracji"
"Select the product attribute that stores the EAN code (Catalog Input Type should be: Text Field)","Wybierz atrybut produktu przechowujący kod EAN (Atrybut powinien być typu: Pole tekstowe)"
"Enable tracking of page view","Włącz śledzenie wejścia na stronę"
"Enable tracking in product view","Włącz śledzenie na widoku produktu"
"Enable tracking in the product list view","Włącz śledzenie na widoku listy produktów"
"Enable tracking of products added to the cart","Włącz śledzenie produktów dodanych do koszyka"
"Enable tracking of purchase","Włącz śledzenie zakupu na stronie success page"
"Client identifier","Identyfikator klienta"
"Disables adding every tracking codes","Wyłącza dodawanie wszystkich kodów śledzenia"
"Enable tracking of register form","Włącz śledzenie formularza rejestracji"
"Login Tracking Enabled","Logowanie"
"Enable tracking of login","Włącz śledzenie logowania"
"Contact Form Tracking Enabled","Formularz Kontaktowy"
"Enable tracking contact form","Włącz śledzenie formularza kontaktowego"
"Size Attributes","Atrybuty Rozmiarów"
"Select size attributes (used in the sizes field)","Wybierz atrybuty rozmiarów (używane w polu rozmiaru)"
